prenom;nom;login;groupe
Olivier;ROUSSEAUX;orousseaux;direction-general
Lucie;DETRITCH;ldetritch;secretariat
Lionel;GABRU;lgabru;direction-technique
France;BALLET;fballet;ingenierie-reseau
Paul;LEMARIE;plemarie;technique
Hugues;VANCHEZ;hvanchez;support
Luc;DUPRE;ldupre;direction-commercial
Jean;TREMIS;jtremis;commercial
Grégoire;JOLET;gjolet;communication
Olivia;GABRIEL;ogabriel;direction-administration-finances
Baptiste;SACLIER;bsaclier;administration-informatique
Tanguy;BLOCHET;tblochet;administration-informatique
Jean-Guillaume;PONSARD;jgponsard;administration-informatique
Hélène;MINGEA;hmingea;comptabilite
Danièle;TROC;dtroc;secretariat-administration-finances
Bastien;PAL;bpal;direction-ressources-humaines
Nora;BUSQUET;nbusquet;paie
